id,name,chineseName,time,date,location,chineseLocation,image,description,chineseDescription,status
1,RBC Brooklyn Half Course Preview Run,布鲁克林半马探路跑,8:00 AM,2024-04-20,Brooklyn,布鲁克林,public-images/placeholder_highlight.png,Join us for a preview run of the Brooklyn Half Marathon course. Experience the route and prepare for race day.,加入我们的布鲁克林半程马拉松探路跑。体验赛道并为比赛日做好准备。,Open
2,Summer Bear Mountain Run,夏季熊山跑,7:30 AM,2024-05-25,Bear Mountain,熊山,public-images/placeholder_highlight.png,Challenge yourself with our scenic trail run at Bear Mountain. Perfect for building endurance and enjoying nature.,在熊山参加我们的风景优美的越野跑。这是提高耐力和享受自然的完美选择。,Open
3,Seven Bridge Run,七桥跑,9:00 AM,2024-06-15,Manhattan,曼哈顿,public-images/placeholder_highlight.png,Experience the iconic Seven Bridge Run through Manhattan. A unique urban running experience.,体验标志性的曼哈顿七桥跑。独特的城市跑步体验。,Upcoming
4,Central Park Speed Workout,中央公园速度训练,6:30 PM,2024-04-25,Central Park,中央公园,public-images/placeholder_highlight.png,Join us for an intense interval training session to improve your speed and endurance.,加入我们的高强度间歇训练课程，提高您的速度和耐力。,Open
5,NYC Marathon Training Run,纽约马拉松训练跑,7:00 AM,2024-07-20,Central Park,中央公园,public-images/placeholder_highlight.png,Long training run for NYC Marathon participants. Build your endurance and prepare for the big race.,纽约马拉松参赛者的长距离训练跑。提高耐力，为大赛做准备。,Upcoming
6,Boardwalk Kids Run,儿童木板路跑,10:00 AM,2024-08-10,Coney Island,康尼岛,public-images/placeholder_highlight.png,Give the young athletes in your life a chance to join in on the race-day fun in Coney Island.,让您生活中的年轻运动员有机会在康尼岛体验比赛日的乐趣。,Upcoming
7,Brooklyn Half Marathon,布鲁克林半程马拉松,8:00 AM,2025-05-17,Brooklyn,布鲁克林,public-images/placeholder-event.jpg,Join thousands of runners in the iconic Brooklyn Half Marathon. Experience the vibrant neighborhoods and finish with a spectacular view of Coney Island.,加入数千名跑者参加标志性的布鲁克林半程马拉松。体验充满活力的社区，并在康尼岛的美景中完成比赛。,Upcoming
8,NewBee 9th Anniversary Run,新蜂九周年跑,6:30 PM,2025-05-21,Central Park,中央公园,public-images/placeholder-event.jpg,Celebrate NewBee Running Club's 9th anniversary with a special evening run. Join us for a memorable event with fellow runners and special surprises.,参加新蜂跑团九周年特别夜跑活动。与跑友们一起参加这个难忘的活动，还有特别惊喜等着您。,Upcoming
9,Global Running Day Celebration,全球跑步日庆祝活动,7:00 AM,2025-05-30,Manhattan,曼哈顿,public-images/placeholder-event.jpg,Join runners worldwide in celebrating Global Running Day. Participate in group runs, workshops, and community activities.,加入全球跑者庆祝全球跑步日。参加团体跑、工作坊和社区活动。,Upcoming
10,Queens 10K Challenge,皇后区10公里挑战赛,8:30 AM,2025-06-20,Queens,皇后区,public-images/placeholder-event.jpg,Challenge yourself in the Queens 10K, featuring a scenic route through Flushing Meadows Corona Park and surrounding neighborhoods.,在皇后区10公里挑战赛中挑战自我，路线将穿过法拉盛草地公园和周边社区。,Upcoming 
